Country.or.Area,Year,Unit,Quantity
Algeria,2010,TERAJOULES,0
Algeria,2009,TERAJOULES,398
Algeria,2008,TERAJOULES,825
Algeria,2007,TERAJOULES,825
Algeria,2006,TERAJOULES,842
Algeria,2005,TERAJOULES,886
Algeria,2004,TERAJOULES,960
Algeria,2003,TERAJOULES,1047
Algeria,2002,TERAJOULES,1009
Algeria,2001,TERAJOULES,770
Algeria,2000,TERAJOULES,829
Algeria,1999,TERAJOULES,900
Algeria,1998,TERAJOULES,821
Argentina,2010,TERAJOULES,9630
Argentina,2009,TERAJOULES,10693
Argentina,2008,TERAJOULES,10693
Argentina,2007,TERAJOULES,10420
Argentina,2006,TERAJOULES,10703
Argentina,2005,TERAJOULES,9446
Argentina,2004,TERAJOULES,9009
Argentina,2003,TERAJOULES,8085
Argentina,2002,TERAJOULES,6980
Argentina,2001,TERAJOULES,7617
Argentina,2000,TERAJOULES,7771
Argentina,1999,TERAJOULES,7213
Argentina,1998,TERAJOULES,7492
Argentina,1997,TERAJOULES,7133
Argentina,1996,TERAJOULES,7090
Argentina,1995,TERAJOULES,5250
Australia,2010,TERAJOULES,22691
Australia,2009,TERAJOULES,23445
Australia,2008,TERAJOULES,32296
Australia,2007,TERAJOULES,32283
Australia,2006,TERAJOULES,31460
Australia,2005,TERAJOULES,32317
Australia,2004,TERAJOULES,30596
Australia,2003,TERAJOULES,26543
Australia,2002,TERAJOULES,24084
Australia,2001,TERAJOULES,23100
Australia,2000,TERAJOULES,28957
Australia,1999,TERAJOULES,32426
Australia,1998,TERAJOULES,34481
Australia,1997,TERAJOULES,34863
Australia,1996,TERAJOULES,34264
Australia,1995,TERAJOULES,35210
Austria,2010,TERAJOULES,9772
Austria,2009,TERAJOULES,9072
Austria,2008,TERAJOULES,9903
Austria,2007,TERAJOULES,9524
Austria,2006,TERAJOULES,9682
Austria,2005,TERAJOULES,9871
Austria,2004,TERAJOULES,10911
Austria,2003,TERAJOULES,10722
Austria,2002,TERAJOULES,9579
Austria,2001,TERAJOULES,9776
Austria,2000,TERAJOULES,10466
Austria,1999,TERAJOULES,12220
Austria,1998,TERAJOULES,12166
Austria,1997,TERAJOULES,11804
Austria,1996,TERAJOULES,11784
Austria,1995,TERAJOULES,10906
Belgium,2010,TERAJOULES,15711
Belgium,2009,TERAJOULES,10318
Belgium,2008,TERAJOULES,16926
Belgium,2007,TERAJOULES,21034
Belgium,2006,TERAJOULES,21259
Belgium,2005,TERAJOULES,21868
Belgium,2004,TERAJOULES,22393
Belgium,2003,TERAJOULES,21094
Belgium,2002,TERAJOULES,22266
Belgium,2001,TERAJOULES,22769
Belgium,2000,TERAJOULES,23348
Belgium,1999,TERAJOULES,20000
Belgium,1998,TERAJOULES,23828
Belgium,1997,TERAJOULES,24311
Belgium,1996,TERAJOULES,26889
Belgium,1995,TERAJOULES,27421
Bosnia and Herzegovina,2010,TERAJOULES,7295
Bosnia and Herzegovina,2009,TERAJOULES,4921
Bosnia and Herzegovina,2008,TERAJOULES,4213
Bosnia and Herzegovina,2007,TERAJOULES,3999
Bosnia and Herzegovina,2006,TERAJOULES,3743
Bosnia and Herzegovina,2005,TERAJOULES,3523
Bosnia and Herzegovina,2004,TERAJOULES,1779
Bosnia and Herzegovina,2003,TERAJOULES,0
Bosnia and Herzegovina,2002,TERAJOULES,0
Bosnia and Herzegovina,2001,TERAJOULES,0
Brazil,2010,TERAJOULES,76092
Brazil,2009,TERAJOULES,67010
Brazil,2008,TERAJOULES,70738
Brazil,2007,TERAJOULES,70983
Brazil,2006,TERAJOULES,62190
Brazil,2005,TERAJOULES,64249
Brazil,2004,TERAJOULES,65335
Brazil,2003,TERAJOULES,61550
Brazil,2002,TERAJOULES,59856
Brazil,2001,TERAJOULES,61550
Brazil,2000,TERAJOULES,62567
Brazil,1999,TERAJOULES,59140
Brazil,1998,TERAJOULES,63866
Brazil,1997,TERAJOULES,65052
Brazil,1996,TERAJOULES,67764
Brazil,1995,TERAJOULES,66747
Bulgaria,2010,TERAJOULES,0
Bulgaria,2009,TERAJOULES,0
Bulgaria,2008,TERAJOULES,2151
Bulgaria,2007,TERAJOULES,3866
Bulgaria,2006,TERAJOULES,4760
Bulgaria,2005,TERAJOULES,5501
Bulgaria,2004,TERAJOULES,6222
Bulgaria,2003,TERAJOULES,6577
Bulgaria,2002,TERAJOULES,5966
Bulgaria,2001,TERAJOULES,5934
Bulgaria,2000,TERAJOULES,8033
Bulgaria,1999,TERAJOULES,6716
Bulgaria,1998,TERAJOULES,6813
Bulgaria,1997,TERAJOULES,8663
Bulgaria,1996,TERAJOULES,8256
Bulgaria,1995,TERAJOULES,8599
Canada,2010,TERAJOULES,22266
Canada,2009,TERAJOULES,20200
Canada,2008,TERAJOULES,22298
Canada,2007,TERAJOULES,29569
Canada,2006,TERAJOULES,29787
Canada,2005,TERAJOULES,29504
Canada,2004,TERAJOULES,30076
Canada,2003,TERAJOULES,28859
Canada,2002,TERAJOULES,29005
Canada,2001,TERAJOULES,29610
Canada,2000,TERAJOULES,28905
Canada,1999,TERAJOULES,28950
Canada,1998,TERAJOULES,27855
Canada,1997,TERAJOULES,28647
Canada,1996,TERAJOULES,28410
Canada,1995,TERAJOULES,27056
Chile,2010,TERAJOULES,3652
Chile,2009,TERAJOULES,4056
Chile,2008,TERAJOULES,4687
Chile,2007,TERAJOULES,5059
Chile,2006,TERAJOULES,5481
Chile,2005,TERAJOULES,5438
Chile,2004,TERAJOULES,5668
Chile,2003,TERAJOULES,4447
Chile,2002,TERAJOULES,4213
Chile,2001,TERAJOULES,4682
Chile,2000,TERAJOULES,5138
Chile,1999,TERAJOULES,4381
Chile,1998,TERAJOULES,4791
Chile,1997,TERAJOULES,5214
Chile,1996,TERAJOULES,5494
Chile,1995,TERAJOULES,5376
China,2010,TERAJOULES,1335339
China,2009,TERAJOULES,1118220
China,2008,TERAJOULES,1131336.24
China,2007,TERAJOULES,1029857
China,2006,TERAJOULES,946190
China,2005,TERAJOULES,914990.25
China,2004,TERAJOULES,636281.05
China,2003,TERAJOULES,524851.35
China,2002,TERAJOULES,568574
China,2001,TERAJOULES,537416
China,2000,TERAJOULES,523893
China,1999,TERAJOULES,486736
China,1998,TERAJOULES,514571
China,1997,TERAJOULES,545207
China,1996,TERAJOULES,485179
China,1995,TERAJOULES,484075
Colombia,2010,TERAJOULES,871
Colombia,2009,TERAJOULES,2190
Colombia,2008,TERAJOULES,2412
Colombia,2007,TERAJOULES,1951
Colombia,2006,TERAJOULES,1951
Colombia,2005,TERAJOULES,2178.07
Colombia,2004,TERAJOULES,2191
Colombia,2003,TERAJOULES,2254
Colombia,2002,TERAJOULES,2285
Colombia,2001,TERAJOULES,2278
Colombia,2000,TERAJOULES,2044
Colombia,1999,TERAJOULES,1740
Colombia,1998,TERAJOULES,1802
Colombia,1997,TERAJOULES,2110
Colombia,1996,TERAJOULES,2219
Colombia,1995,TERAJOULES,2244
Czech Republic,2010,TERAJOULES,20144
Czech Republic,2009,TERAJOULES,18606
Czech Republic,2008,TERAJOULES,26227
Czech Republic,2007,TERAJOULES,23700
Czech Republic,2006,TERAJOULES,24842
Czech Republic,2005,TERAJOULES,24502
Czech Republic,2004,TERAJOULES,24997
Czech Republic,2003,TERAJOULES,25235
Czech Republic,2002,TERAJOULES,25903
Czech Republic,2001,TERAJOULES,25274
Czech Republic,2000,TERAJOULES,25266
Czech Republic,1999,TERAJOULES,23381
Czech Republic,1998,TERAJOULES,32872
Czech Republic,1997,TERAJOULES,31884
Czech Republic,1996,TERAJOULES,35240
Czech Republic,1995,TERAJOULES,33000
Finland,2010,TERAJOULES,6993
Finland,2009,TERAJOULES,6358
Finland,2008,TERAJOULES,7170
Finland,2007,TERAJOULES,7540
Finland,2006,TERAJOULES,7289
Finland,2005,TERAJOULES,7425
Finland,2004,TERAJOULES,7704
Finland,2003,TERAJOULES,8047
Finland,2002,TERAJOULES,8048
Finland,2001,TERAJOULES,7778
Finland,2000,TERAJOULES,7740
Finland,1999,TERAJOULES,7748
Finland,1998,TERAJOULES,7776
Finland,1997,TERAJOULES,7621
Finland,1996,TERAJOULES,7332
Finland,1995,TERAJOULES,7656
France incl. Monaco,2010,TERAJOULES,24117
France incl. Monaco,2009,TERAJOULES,24878
France incl. Monaco,2008,TERAJOULES,34021
France incl. Monaco,2007,TERAJOULES,34227
France incl. Monaco,2006,TERAJOULES,32932
France incl. Monaco,2005,TERAJOULES,32288
France incl. Monaco,2004,TERAJOULES,32831
France incl. Monaco,2003,TERAJOULES,35169
France incl. Monaco,2002,TERAJOULES,34765
France incl. Monaco,2001,TERAJOULES,39505
France incl. Monaco,2000,TERAJOULES,41780
France incl. Monaco,1999,TERAJOULES,46797
France incl. Monaco,1998,TERAJOULES,46163
France incl. Monaco,1997,TERAJOULES,47581
France incl. Monaco,1996,TERAJOULES,47527
France incl. Monaco,1995,TERAJOULES,49090
Germany,2010,TERAJOULES,68614
Germany,2009,TERAJOULES,57926
Germany,2008,TERAJOULES,68808
Germany,2007,TERAJOULES,70504
Germany,2006,TERAJOULES,67729
Germany,2005,TERAJOULES,64406
Germany,2004,TERAJOULES,65035
Germany,2003,TERAJOULES,60878
Germany,2002,TERAJOULES,67307
Germany,2001,TERAJOULES,68136
Germany,2000,TERAJOULES,88107
Germany,1999,TERAJOULES,90105
Germany,1998,TERAJOULES,96337
Germany,1997,TERAJOULES,81495
Germany,1996,TERAJOULES,87246
Germany,1995,TERAJOULES,91316
Hungary,2010,TERAJOULES,9220
Hungary,2009,TERAJOULES,6486
Hungary,2008,TERAJOULES,8997
Hungary,2007,TERAJOULES,9155
Hungary,2006,TERAJOULES,8200
Hungary,2005,TERAJOULES,4563
Hungary,2004,TERAJOULES,4337
Hungary,2003,TERAJOULES,4416
Hungary,2002,TERAJOULES,2848
Hungary,2001,TERAJOULES,4405
Hungary,2000,TERAJOULES,7690
Hungary,1999,TERAJOULES,7005
Hungary,1998,TERAJOULES,7854
Hungary,1997,TERAJOULES,7929
Hungary,1996,TERAJOULES,7711
Hungary,1995,TERAJOULES,8656
India,1997,TERAJOULES,0
India,1996,TERAJOULES,0
India,1995,TERAJOULES,0
Iran (Islamic Republic of),2010,TERAJOULES,5118.69
Iran (Islamic Republic of),2009,TERAJOULES,6490.71
Iran (Islamic Republic of),2008,TERAJOULES,5224.23
Iran (Islamic Republic of),2007,TERAJOULES,6895.28
Iran (Islamic Republic of),2006,TERAJOULES,7282.26
Iran (Islamic Republic of),2005,TERAJOULES,7370.21
Iran (Islamic Republic of),2004,TERAJOULES,8992
Iran (Islamic Republic of),2003,TERAJOULES,8821
Iran (Islamic Republic of),2002,TERAJOULES,9486
Iran (Islamic Republic of),2001,TERAJOULES,10113
Iran (Islamic Republic of),2000,TERAJOULES,10246
Iran (Islamic Republic of),1999,TERAJOULES,9961
Iran (Islamic Republic of),1998,TERAJOULES,9706
Iran (Islamic Republic of),1997,TERAJOULES,8329
Iran (Islamic Republic of),1996,TERAJOULES,7981
Iran (Islamic Republic of),1995,TERAJOULES,7905
Italy and San Marino,2010,TERAJOULES,16088
Italy and San Marino,2009,TERAJOULES,12897
Italy and San Marino,2008,TERAJOULES,17106
Italy and San Marino,2007,TERAJOULES,16480
Italy and San Marino,2006,TERAJOULES,15752
Italy and San Marino,2005,TERAJOULES,14147
Italy and San Marino,2004,TERAJOULES,14347
Italy and San Marino,2003,TERAJOULES,15263
Italy and San Marino,2002,TERAJOULES,14356
Italy and San Marino,2001,TERAJOULES,14612
Italy and San Marino,2000,TERAJOULES,22241
Italy and San Marino,1999,TERAJOULES,19022
Italy and San Marino,1998,TERAJOULES,38951
Italy and San Marino,1997,TERAJOULES,44804
Italy and San Marino,1996,TERAJOULES,42812
Italy and San Marino,1995,TERAJOULES,41184
Japan,2010,TERAJOULES,363852
Japan,2009,TERAJOULES,332337
Japan,2008,TERAJOULES,358766
Japan,2007,TERAJOULES,383183
Japan,2006,TERAJOULES,380012
Japan,2005,TERAJOULES,376806
Japan,2004,TERAJOULES,372542
Japan,2003,TERAJOULES,378564
Japan,2002,TERAJOULES,374249
Japan,2001,TERAJOULES,355882
Japan,2000,TERAJOULES,351495
Japan,1999,TERAJOULES,340236
Japan,1998,TERAJOULES,341107
Japan,1997,TERAJOULES,363173
Japan,1996,TERAJOULES,375961
Japan,1995,TERAJOULES,383497
Kazakhstan,2010,TERAJOULES,15612
Kazakhstan,2009,TERAJOULES,17238
Kazakhstan,2008,TERAJOULES,18246
Kazakhstan,2007,TERAJOULES,28084
Kazakhstan,2006,TERAJOULES,30671
Kazakhstan,2005,TERAJOULES,21685
Mexico,2010,TERAJOULES,838
Mexico,2009,TERAJOULES,822
Mexico,2008,TERAJOULES,960
Mexico,2007,TERAJOULES,1356
Mexico,2006,TERAJOULES,965
Mexico,2005,TERAJOULES,984
Mexico,2004,TERAJOULES,1430
Mexico,2003,TERAJOULES,2087
Mexico,2002,TERAJOULES,2383
Mexico,2001,TERAJOULES,2673
Mexico,2000,TERAJOULES,2913
Mexico,1999,TERAJOULES,2932
Netherlands,2010,TERAJOULES,18328
Netherlands,2009,TERAJOULES,15421
Netherlands,2008,TERAJOULES,19469
Netherlands,2007,TERAJOULES,19582
Netherlands,2006,TERAJOULES,18515
Netherlands,2005,TERAJOULES,19141
Netherlands,2004,TERAJOULES,19379
Netherlands,2003,TERAJOULES,19054
Netherlands,2002,TERAJOULES,17983
Netherlands,2001,TERAJOULES,19268
Netherlands,2000,TERAJOULES,18875
Netherlands,1999,TERAJOULES,19766
Netherlands,1998,TERAJOULES,24098
Netherlands,1997,TERAJOULES,26383
Netherlands,1996,TERAJOULES,27115
Netherlands,1995,TERAJOULES,26925
New Zealand,2010,TERAJOULES,4846
New Zealand,2009,TERAJOULES,4238
New Zealand,2008,TERAJOULES,4669
New Zealand,2007,TERAJOULES,4945
New Zealand,2006,TERAJOULES,4622
New Zealand,2005,TERAJOULES,4791
New Zealand,2004,TERAJOULES,5013
New Zealand,2003,TERAJOULES,4825
New Zealand,2002,TERAJOULES,4753
New Zealand,2001,TERAJOULES,4767
New Zealand,2000,TERAJOULES,4767
New Zealand,1999,TERAJOULES,4767
New Zealand,1998,TERAJOULES,4767
New Zealand,1997,TERAJOULES,4800
New Zealand,1996,TERAJOULES,4725
New Zealand,1995,TERAJOULES,4932
Peru,1997,TERAJOULES,282
Peru,1996,TERAJOULES,280
Peru,1995,TERAJOULES,278
Poland,2010,TERAJOULES,81120
Poland,2009,TERAJOULES,59307
Poland,2008,TERAJOULES,82150
Poland,2007,TERAJOULES,85500
Poland,2006,TERAJOULES,79680
Poland,2005,TERAJOULES,68830
Poland,2004,TERAJOULES,81052
Poland,2003,TERAJOULES,83434
Poland,2002,TERAJOULES,72856
Poland,2001,TERAJOULES,76676
Poland,2000,TERAJOULES,76499
Poland,1999,TERAJOULES,69988
Poland,1998,TERAJOULES,81619
Poland,1997,TERAJOULES,88096
Poland,1996,TERAJOULES,84484
Poland,1995,TERAJOULES,94185
Portugal,2001,TERAJOULES,409
Portugal,2000,TERAJOULES,2930
Portugal,1999,TERAJOULES,2803
Portugal,1998,TERAJOULES,3059
Portugal,1997,TERAJOULES,3075
Portugal,1996,TERAJOULES,2593
Portugal,1995,TERAJOULES,2606
Republic of Korea,2010,TERAJOULES,108214
Republic of Korea,2009,TERAJOULES,78035
Republic of Korea,2008,TERAJOULES,93135
Republic of Korea,2007,TERAJOULES,83987
Republic of Korea,2006,TERAJOULES,79759
Republic of Korea,2005,TERAJOULES,80666
Republic of Korea,2004,TERAJOULES,83860
Republic of Korea,2003,TERAJOULES,84688
Republic of Korea,2002,TERAJOULES,80089
Republic of Korea,2001,TERAJOULES,93639
Republic of Korea,2000,TERAJOULES,98515
Republic of Korea,1999,TERAJOULES,95533
Republic of Korea,1998,TERAJOULES,95420
Republic of Korea,1997,TERAJOULES,95320
Republic of Korea,1996,TERAJOULES,91119
Republic of Korea,1995,TERAJOULES,84719
Romania,2010,TERAJOULES,0
Romania,2009,TERAJOULES,2341
Romania,2008,TERAJOULES,6916
Romania,2007,TERAJOULES,10966
Romania,2006,TERAJOULES,12503
Romania,2005,TERAJOULES,12589
Romania,2004,TERAJOULES,11323
Romania,2003,TERAJOULES,10161
Romania,2002,TERAJOULES,12775
Romania,2001,TERAJOULES,9590
Romania,2000,TERAJOULES,9238
Romania,1999,TERAJOULES,9799
Romania,1998,TERAJOULES,18881
Romania,1997,TERAJOULES,19883
Romania,1996,TERAJOULES,19045
Romania,1995,TERAJOULES,23310
Russian Federation,2010,TERAJOULES,272945
Russian Federation,2009,TERAJOULES,240914
Russian Federation,2008,TERAJOULES,226573
Russian Federation,2007,TERAJOULES,236088
Russian Federation,2006,TERAJOULES,235971
Russian Federation,2005,TERAJOULES,104753
Russian Federation,2004,TERAJOULES,82316
Russian Federation,2003,TERAJOULES,79065
Russian Federation,2002,TERAJOULES,79846
Russian Federation,2001,TERAJOULES,80155
Russian Federation,2000,TERAJOULES,71297
Russian Federation,1999,TERAJOULES,67003
Russian Federation,1998,TERAJOULES,67637
Russian Federation,1997,TERAJOULES,99174
Russian Federation,1996,TERAJOULES,115901
Russian Federation,1995,TERAJOULES,100929
Slovakia,2010,TERAJOULES,13544
Slovakia,2009,TERAJOULES,12311
Slovakia,2008,TERAJOULES,13575
Slovakia,2007,TERAJOULES,14521
Slovakia,2006,TERAJOULES,14842
Slovakia,2005,TERAJOULES,14717
Slovakia,2004,TERAJOULES,14883
Slovakia,2003,TERAJOULES,15025
Slovakia,2002,TERAJOULES,14346
Slovakia,2001,TERAJOULES,13458
Slovakia,2000,TERAJOULES,12164
Slovakia,1999,TERAJOULES,11435
Slovakia,1998,TERAJOULES,10659
Slovakia,1997,TERAJOULES,12919
Slovakia,1996,TERAJOULES,11788
Slovakia,1995,TERAJOULES,14270
South Africa,2010,TERAJOULES,7313
South Africa,2009,TERAJOULES,13119
South Africa,2008,TERAJOULES,14495
South Africa,2007,TERAJOULES,15856
South Africa,2006,TERAJOULES,14517
South Africa,2005,TERAJOULES,15017
South Africa,2004,TERAJOULES,14505
South Africa,2003,TERAJOULES,12668
South Africa,2002,TERAJOULES,12644
South Africa,2001,TERAJOULES,12668
South Africa,2000,TERAJOULES,14867
South Africa,1999,TERAJOULES,10143
South Africa,1998,TERAJOULES,14866
South Africa,1997,TERAJOULES,22576
South Africa,1996,TERAJOULES,22937
South Africa,1995,TERAJOULES,23985
Spain,2010,TERAJOULES,17867
Spain,2009,TERAJOULES,14395
Spain,2008,TERAJOULES,20742
Spain,2007,TERAJOULES,21475
Spain,2006,TERAJOULES,21675
Spain,2005,TERAJOULES,21110
Spain,2004,TERAJOULES,21857
Spain,2003,TERAJOULES,22368
Spain,2002,TERAJOULES,22258
Spain,2001,TERAJOULES,22529
Spain,2000,TERAJOULES,19864
Spain,1999,TERAJOULES,17300
Spain,1998,TERAJOULES,22255
Spain,1997,TERAJOULES,21908
Spain,1996,TERAJOULES,18102
Spain,1995,TERAJOULES,19239
Sweden,2010,TERAJOULES,8516
Sweden,2009,TERAJOULES,7436
Sweden,2008,TERAJOULES,9319
Sweden,2007,TERAJOULES,9702
Sweden,2006,TERAJOULES,10079
Sweden,2005,TERAJOULES,9340
Sweden,2004,TERAJOULES,9745
Sweden,2003,TERAJOULES,8414
Sweden,2002,TERAJOULES,9467
Sweden,2001,TERAJOULES,9980
Sweden,2000,TERAJOULES,9684
Sweden,1999,TERAJOULES,10021
Sweden,1998,TERAJOULES,9087
Sweden,1997,TERAJOULES,9238
Sweden,1996,TERAJOULES,9341
Sweden,1995,TERAJOULES,9058
Turkey,2010,TERAJOULES,27898
Turkey,2009,TERAJOULES,26337
Turkey,2008,TERAJOULES,31101
Turkey,2007,TERAJOULES,23184
Turkey,2006,TERAJOULES,22165
Turkey,2005,TERAJOULES,21829
Turkey,2004,TERAJOULES,21807
Turkey,2003,TERAJOULES,20921
Turkey,2002,TERAJOULES,17824
Turkey,2001,TERAJOULES,18372
Turkey,2000,TERAJOULES,21384
Turkey,1999,TERAJOULES,21710
Turkey,1998,TERAJOULES,22865
Turkey,1997,TERAJOULES,23508
Turkey,1996,TERAJOULES,23090
Turkey,1995,TERAJOULES,21867
Ukraine,2010,TERAJOULES,152083
Ukraine,2009,TERAJOULES,142221
Ukraine,2008,TERAJOULES,160904
Ukraine,2007,TERAJOULES,169602
Ukraine,2006,TERAJOULES,157466
Ukraine,2005,TERAJOULES,152371
Ukraine,2004,TERAJOULES,130295
Ukraine,2003,TERAJOULES,126137
Ukraine,2002,TERAJOULES,142336
Ukraine,2001,TERAJOULES,149827
Ukraine,2000,TERAJOULES,157713
Ukraine,1999,TERAJOULES,166014
Ukraine,1998,TERAJOULES,174752
Ukraine,1997,TERAJOULES,183949
Ukraine,1996,TERAJOULES,193630
Ukraine,1995,TERAJOULES,203821
United Kingdom,2010,TERAJOULES,32747
United Kingdom,2009,TERAJOULES,29959
United Kingdom,2008,TERAJOULES,34131
United Kingdom,2007,TERAJOULES,35035
United Kingdom,2006,TERAJOULES,35576
United Kingdom,2005,TERAJOULES,33633
United Kingdom,2004,TERAJOULES,32818
United Kingdom,2003,TERAJOULES,34740
United Kingdom,2002,TERAJOULES,34376
United Kingdom,2001,TERAJOULES,41458
United Kingdom,2000,TERAJOULES,45580
United Kingdom,1999,TERAJOULES,43524
United Kingdom,1998,TERAJOULES,49522
United Kingdom,1997,TERAJOULES,47816
United Kingdom,1996,TERAJOULES,47685
United Kingdom,1995,TERAJOULES,46274
United States of America,2010,TERAJOULES,77632
United States of America,2009,TERAJOULES,53816
United States of America,2008,TERAJOULES,82783
United States of America,2007,TERAJOULES,88055
United States of America,2006,TERAJOULES,92671
United States of America,2005,TERAJOULES,92833
United States of America,2004,TERAJOULES,97720
United States of America,2003,TERAJOULES,94098
United States of America,2002,TERAJOULES,108187
United States of America,2001,TERAJOULES,82762
United States of America,2000,TERAJOULES,93563
United States of America,1999,TERAJOULES,101570
United States of America,1998,TERAJOULES,101862
United States of America,1997,TERAJOULES,81372
United States of America,1996,TERAJOULES,96717
United States of America,1995,TERAJOULES,88343
Zimbabwe,2010,TERAJOULES,1329
Zimbabwe,2009,TERAJOULES,1296
Zimbabwe,2008,TERAJOULES,1272
Zimbabwe,2007,TERAJOULES,2157
Zimbabwe,2006,TERAJOULES,2153
Zimbabwe,2005,TERAJOULES,2262
Zimbabwe,2004,TERAJOULES,2389
Zimbabwe,2003,TERAJOULES,2483
Zimbabwe,2002,TERAJOULES,2771
Zimbabwe,2001,TERAJOULES,2899
Zimbabwe,2000,TERAJOULES,3076
Zimbabwe,1999,TERAJOULES,3234
Zimbabwe,1998,TERAJOULES,2500
Zimbabwe,1997,TERAJOULES,1799
Zimbabwe,1996,TERAJOULES,3895
Zimbabwe,1995,TERAJOULES,3895
,,,
fnSeqID,Footnote,,
1,Twelve months ending 30 June of year stated.,,
2,Twelve months beginning 1 April of year stated.,,
3,Twelve months beginning 21 March of year stated.,,
4,Provisional or estimated figure.,,
